"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",56.5156748213717
"2","member","Sunday",15.2570412052822
"3","casual","Monday",54.6906861317777
"4","member","Monday",14.2037285336024
"5","casual","Tuesday",57.9516791384935
"6","member","Tuesday",14.1241127784818
"7","casual","Wednesday",60.5730175193301
"8","member","Wednesday",14.0374435471057
"9","casual","Thursday",57.7610605506575
"10","member","Thursday",14.0475641868354
"11","casual","Friday",60.18371558854
"12","member","Friday",13.8986371134055
"13","casual","Saturday",53.8751853794774
"14","member","Saturday",16.2246737171681
